x	y	z	t
1.1345E-16	-1.8528	1541	1
1.2745	-1.8528	1542	1
1.2745	-1.8528	1542	1
1.2745	-1.8528	1542	1
6.3725	1.8528	1543	1
5.098	3.1216E-16	1543	1
5.098	3.1216E-16	1543	1
6.3725	3.902E-16	1543	1
7.6469	1.8528	1543	2
5.098	-1.8528	1543	10
5.098	-1.8528	1543	6
5.098	-1.8528	1543	5
5.098	-1.8528	1543	3
5.098	-3.7055	1543	5
5.098	-5.5583	1542	1
3.8235	-7.411	1541	1
3.8235	-7.411	1539	1
3.8235	-9.2638	1537	1
3.8235	-9.2638	1535	1
2.549	-9.2638	1532	4
2.549	-9.2638	1526	3
2.549	-9.2638	1526	8
2.549	-9.2638	1525	7
2.549	-11.117	1525	1
2.549	-11.117	1525	7
2.549	-9.2638	1524	17
2.549	-9.2638	1524	19
2.549	-9.2638	1525	2
2.549	-9.2638	1525	4
2.549	-9.2638	1525	20
2.549	-9.2638	1525	21
2.549	-9.2638	1525	23
2.549	-7.411	1526	9
1.2745	-7.411	1526	9
1.2745	-7.411	1526	10
1.2745	-7.411	1526	20
1.2745	-7.411	1527	11
1.2745	-5.5583	1527	29
1.2745	-5.5583	1527	24
1.2745	-5.5583	1527	1
